entidad,mun,pob_tot,p_15ymas,p_6a14,p15ym_an,p_6a14_noa,p_15ymas_edbasinc,psinder,vivpar_hab,vph_pisoti,vph_excsa,vph_aguafv,vph_nodren,vph_s_elec,vph_lavad,vph_refri,vph_cel,vph_pc,vph_inter,vph_tv
09,09017,427263,347026,50231,3266,1186,67026,78180,126002,381,124862,223,98,75,105064,119196,105476,64395,71259,123803
10,,1754754,1237512,307306,39029,11127,418147,282416,455989,16711,436949,13024,32634,10105,335311,406299,361078,135545,123372,428732
10,10001,32852,23701,5579,740,93,9698,4400,8876,239,8147,152,1054,157,6066,7802,6451,1597,965,8296
10,10002,4683,3087,894,351,116,2068,786,1153,210,1006,67,244,99,436,637,166,109,54,867
10,10003,4390,2954,899,110,18,1482,295,1088,24,922,19,230,14,750,961,786,127,79,986
10,10004,35415,24621,6567,834,267,10761,5259,9255,240,8529,459,717,102,7089,8361,6888,1560,1047,8871
10,10005,654876,468367,107975,7049,2951,108483,97536,171351,3110,169431,1801,3425,403,131152,159833,152384,70914,68815,168095
10,10006,10110,7028,1854,523,75,3905,1399,2480,65,2116,116,407,23,1760,2163,1534,200,107,2274
10,10007,342286,245844,58876,5307,1987,75530,57985,91610,1446,90390,618,3240,195,73610,86548,76594,27974,27342,89518
10,10008,35380,25210,6183,797,210,10317,7890,9281,116,8867,155,559,54,7518,8574,6869,2340,2361,8975
10,10009,9851,7012,1702,754,81,4248,3114,2783,271,2554,366,866,151,1276,1654,1451,302,89,2146
10,10010,3838,2863,583,115,9,1388,579,1115,15,1029,42,87,21,915,1037,756,152,12,1059
10,10011,4927,3660,747,158,25,2115,803,1458,22,1329,29,140,18,1174,1368,1064,149,14,1343
10,10012,153311,108033,28124,3036,1375,35795,23966,39843,585,38670,741,1541,171,31733,37176,32476,11345,10798,38814
10,10013,26502,17804,5175,890,320,8720,4045,6407,149,6081,319,683,64,5095,5976,4892,884,649,6218
10,10014,39288,21792,9717,5613,886,14227,11548,7379,3877,4797,3934,5114,4064,742,1270,1179,266,121,1615
10,10015,12957,9023,2328,473,57,4319,1572,3425,90,3165,64,231,41,2655,3109,2362,565,211,3263
10,10016,19694,13904,3376,465,82,6244,3448,5224,155,4853,84,545,72,3438,4551,3527,850,406,4992
10,10017,9567,7202,1502,464,35,3281,1633,3078,66,2873,115,264,85,2266,2722,2069,591,349,2760
10,10018,11496,8628,1640,292,68,4108,1722,3600,34,3316,74,234,42,2736,3362,2534,848,598,3298
10,10019,5385,3508,1089,266,44,1974,1401,1169,274,882,98,374,117,342,477,135,65,37,857
10,10020,12290,9049,1969,315,43,3885,1487,3314,37,3104,43,213,21,2704,3106,2134,544,491,3183
10,10021,10922,7678,1925,266,48,3423,1217,2844,40,2625,106,270,44,1873,2571,2024,423,295,2691
10,10022,25241,18129,4375,669,103,8673,3938,6444,130,6118,88,417,51,4566,5738,4289,1173,604,6303
10,10023,50417,32504,10974,1502,345,12595,6997,11586,1365,10454,804,2480,1437,5669,7347,8026,1828,1227,9092
10,10024,13554,9589,2287,316,37,4351,1294,3566,64,3317,64,312,63,2606,3291,2539,724,449,3345
10,10025,3205,2502,470,170,53,1569,439,1099,31,923,58,187,67,681,915,562,135,12,895
10,10026,19383,12975,3907,626,133,6251,1928,4824,490,4407,206,1456,351,2144,2699,1786,591,212,3590
10,10027,5564,3927,1002,281,29,2175,1177,1435,36,1317,416,294,23,1089,1232,794,118,16,1261
10,10028,12747,8975,2116,344,54,4344,1214,3168,47,2853,54,326,38,2284,2893,2481,469,244,3003
10,10029,2077,1466,358,94,11,817,279,558,5,529,3,26,4,484,523,381,72,48,538
10,10030,1478,1083,220,50,2,573,214,411,7,388,9,24,8,338,381,124,54,2,390
10,10031,7089,5081,1215,165,6,2332,933,1888,46,1743,11,143,17,1419,1697,1374,221,83,1809
10,10032,48482,34195,8282,1461,273,16252,6939,12845,621,11908,498,1078,538,8772,11107,9586,3157,2259,11727
10,10033,6343,4521,1110,243,30,2024,802,1664,119,1522,27,229,62,1066,1413,1026,251,139,1510
10,10034,26709,17182,5687,1782,341,10557,4556,5610,1663,4231,732,1720,957,1823,2733,2559,345,178,3643
10,10035,11060,7886,1825,501,130,4664,1278,3160,219,2704,286,789,260,1507,2132,1723,487,337,2462
10,10036,22895,16028,4099,668,117,6660,3262,6041,88,5748,234,1270,63,4617,5536,4682,921,429,5872
10,10037,9351,6165,1806,379,102,3332,2091,2177,516,1733,38,563,115,1072,1520,626,269,176,1780
10,10038,21861,15575,3827,427,76,5671,7394,5804,128,5658,39,197,48,4233,5276,4446,1300,872,5610
10,10039,27278,18761,5042,533,495,9336,5596,6976,71,6710,55,685,45,5611,6608,5799,1625,1245,5781
11,,5853677,4159525,1030542,264091,41337,1727641,861082,1443035,28026,1381741,57251,80833,11150,1087447,1286360,1088925,393716,384623,1398614
11,11001,90990,63796,16357,5702,674,34745,11578,20910,340,19310,1031,2438,145,12776,18139,13676,2726,2021,19976
11,11002,112125,83468,17473,7160,648,37381,10957,30035,314,28796,401,1273,107,22636,27099,20433,6238,5320,29101
11,11003,171857,119984,32272,9695,1051,54096,19633,42695,1468,38328,3371,8095,1020,26006,36411,32062,12103,12574,40551
11,11004,68455,47614,12640,4432,382,22574,8493,16472,311,15505,327,1447,112,10440,14758,11871,3020,2914,15951
11,11005,92605,64159,17010,4143,550,27415,13922,21960,557,21272,359,1313,225,14906,19484,16517,4537,4110,21330
